"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV990","Bacteria","Verrucomicrobia",NA,NA,NA,NA,NA
"ASV991","Bacteria","Proteobacteria","Oligoflexia","Silvanigrellales","Silvanigrellaceae","Silvanigrella",NA
"ASV992","Bacteria",NA,NA,NA,NA,NA,NA
"ASV993","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",NA
"ASV994","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales",NA,NA,NA
"ASV995","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA
"ASV996","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"ASV997","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales",NA,NA,NA
"ASV998","Bacteria",NA,NA,NA,NA,NA,NA
"ASV999","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1000","Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV1001","Bacteria","Verrucomicrobia",NA,NA,NA,NA,NA
"ASV1002","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium",NA
"ASV1003","Bacteria","Verrucomicrobia",NA,NA,NA,NA,NA
"ASV1004","Bacteria","Verrucomicrobia",NA,NA,NA,NA,NA
"ASV1005","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA
"ASV1006","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Iamiaceae","Actinomarinicola",NA
"ASV1007","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Flavisolibacter",NA
"ASV1008","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Skermanella","aerolata"
"ASV1009","Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA,NA
"ASV1010","Bacteria","Verrucomicrobia","Spartobacteria",NA,NA,NA,NA
"ASV1011","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","maltophilia"
"ASV1012","Bacteria","Rhodothermaeota","Rhodothermia","Rhodothermales","Rubricoccaceae","Rubrivirga",NA
"ASV1013","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Reyranellaceae","Reyranella",NA
"ASV1014","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1015","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ASV1016","Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV1017","Bacteria","Proteobacteria","Betaproteobacteria",NA,NA,NA,NA
"ASV1018","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Belnapia",NA
"ASV1019","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma",NA
"ASV1020","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus2",NA
"ASV1021","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales",NA,NA,NA
"ASV1022","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Patulibacteraceae","Patulibacter",NA
"ASV1023","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",NA
"ASV1024","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV1026","Bacteria","Proteobacteria","Gammaproteobacteria","Orbales","Orbaceae","Gilliamella","apicola"
"ASV1027","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1028","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter","aerosaccus"
"ASV1029","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Ignatzschineria",NA,NA
"ASV1030","Bacteria","Acidobacteria","Acidobacteria_Gp1","Granulicella",NA,NA,NA
"ASV1031","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1032","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter",NA
"ASV1033","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Novosphingobium",NA
"ASV1034","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ASV1035","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus",NA
"ASV1036","Bacteria",NA,NA,NA,NA,NA,NA
"ASV1037","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV1038","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ASV1039","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV1040","Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"ASV1041","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Skermanella",NA
"ASV1042","Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Gordoniaceae","Williamsia",NA
"ASV1043","Bacteria","Acidobacteria","Acidobacteria_Gp7","Gp7",NA,NA,NA
"ASV1044","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","aquaedulcis"
"ASV1045","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",NA
"ASV1046","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV1047","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ASV1048","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_Incertae_Sedis_XII","Exiguobacterium",NA
"ASV1049","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Pigmentiphaga",NA
"ASV1050","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",NA,NA
"ASV1051","Bacteria","SR1",NA,NA,NA,NA,NA
"ASV1052","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV1053","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium",NA
"ASV1054","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"ASV1055","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
